model,split,loss,mAP,mean_acc,AP_buildings,Acc_buildings,AP_forest,Acc_forest,AP_glacier,Acc_glacier,AP_mountain,Acc_mountain,AP_sea,Acc_sea,AP_street,Acc_street
model1,val,0.3697,0.9386,0.8794,0.9381,0.9094,0.9926,0.9689,0.9218,0.8991,0.8805,0.7927,0.9623,0.8807,0.9365,0.8254
model1,test,0.3405,0.9468,0.8827,0.9457,0.9179,0.9978,0.9834,0.9097,0.8983,0.9115,0.7682,0.9668,0.8878,0.9489,0.8406
model2,val,0.4494,0.9403,0.8762,0.9379,0.8252,0.9898,0.9752,0.9104,0.7464,0.8922,0.8852,0.958,0.9113,0.9534,0.9142
model2,test,0.419,0.941,0.8782,0.9452,0.8402,0.9969,0.9814,0.8925,0.7505,0.8956,0.8673,0.967,0.9204,0.9487,0.9094
model3,val,0.3421,0.9485,0.8836,0.9619,0.8673,0.993,0.9627,0.9223,0.7061,0.8932,0.916,0.9613,0.9235,0.9591,0.926
model3,test,0.3206,0.9489,0.8813,0.952,0.8553,0.9983,0.9855,0.9057,0.737,0.9154,0.9103,0.9618,0.902,0.96,0.8976
model1_transfer,val,0.3245,0.9573,0.8878,0.9603,0.7605,0.9974,0.9752,0.9394,0.8415,0.919,0.8459,0.9729,0.9419,0.9551,0.9615
model1_transfer,test,0.322,0.9567,0.8848,0.9598,0.7559,0.9988,0.9834,0.922,0.8349,0.9278,0.8206,0.9803,0.9612,0.9515,0.9528
model2_transfer,val,0.344,0.9585,0.8997,0.9572,0.9288,0.9976,0.9783,0.9276,0.8761,0.9171,0.8627,0.9837,0.9358,0.9676,0.8166
model2_transfer,test,0.351,0.9578,0.9017,0.9616,0.9352,0.9983,0.9793,0.9151,0.856,0.9201,0.8505,0.9807,0.9327,0.9709,0.8563
model3_transfer,val,0.2481,0.9667,0.9204,0.9746,0.9385,0.9968,0.9783,0.9468,0.8818,0.9383,0.8824,0.9736,0.9388,0.9701,0.9024
model3_transfer,test,0.247,0.9664,0.9127,0.9711,0.9244,0.9989,0.9876,0.9317,0.8695,0.9367,0.8579,0.9859,0.9551,0.9739,0.8819
